name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Clerc Milon,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,109.97,91,92.60982,-1.60982,1,0,0,0,1,0
Chateau d'Armailhac,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,35.99,89,91.97754,-2.97754,1,0,0,0,1,0
Chateau Mouton Rothschild,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,549.97,96,96.37035,-0.37035,1,0,0,0,1,0
Clarendon Hills Astralis Syrah,1998,Syrah/Shiraz,McLaren Vale, Australia,214.97,98,94.05758,3.94242,0,1,0,0,0,1
Clarendon Hills Astralis Syrah,1999,Syrah/Shiraz,McLaren Vale, Australia,169.00,93,93.66469,-0.66469,0,1,0,0,0,1
Clarendon Hills Brookman Syrah,1999,Syrah/Shiraz,McLaren Vale, Australia,83.99,90,92.93814,-2.93814,0,1,0,0,0,1
d'Arenberg The Dead Arm Shiraz,1998,Syrah/Shiraz,McLaren Vale, Australia,79.00,96,92.89549,3.10451,0,1,0,0,0,1
Chateau Lafite Rothschild (torn labels),1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,899.97,98,99.36166,-1.36166,1,0,0,0,1,0
Chateau Pichon-Longueville Baron,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,145.00,90,92.90921,-2.90921,1,0,0,0,1,0
Chateau Lagrange,1998,Bordeaux Red Blends,St. Julien, Bordeaux, France,39.99,88,92.01173,-4.01173,1,0,0,0,1,0
Longwood Shiraz,1999,Syrah/Shiraz,Australia,24.49,88,92.42961,-4.42961,0,1,0,0,0,1
Clos Fourtet,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,119.97,90,92.69529,-2.69529,1,0,0,0,1,0
Guigal La Landonne Cote Rotie,1997,Syrah/Shiraz,Cote Rotie, Rhone, France,395.00,98,95.80649,2.19351,0,1,0,0,1,0
Guigal La Turque Cote Rotie,1997,Syrah/Shiraz,Cote Rotie, Rhone, France,379.00,96,95.66974,0.33026,0,1,0,0,1,0
Buckeley's Shiraz,2000,Syrah/Shiraz,Australia,9.99,86,92.30569,-6.30569,0,1,0,0,0,1
